Rating,Mobile Name:,Price,RAM
4.2,"Moto G4 Plus (Black, 16 GB)",11499,2
4.3,"Intex INTEX XTREME 2 (Silver, 16 GB)",6990,2
4.3,"Redmi Note 4 (Gold, 32 GB)",9999,2
4,"Redmi Note 4 (Black, 32 GB)",9999,2
4.1,"Asus Zenfone Max (White, 16 GB)",9999,2
3.7,"Karbonn Titanium MachFive (White & Blue, 16 GB)",4540,2
3.5,"Karbonn Titanium (Black, Blue, 16 GB)",4799,2
3,"Iball SOLUS 4G (Blue) (Blue, 2 GB)",6999,2
3.8,"Swipe Virtue (Black, 16 GB)",4990,2
3.9,"BLU Studio One (Black, 16 GB)",5999,2
4,"Lenovo Vibe K5 Plus (Silver, 16 GB)",8499,2
3.8,"Colors Elite (White, 16 GB)",4499,2
3.6,"Lenovo A6000 Plus (White, 16 GB)",7100,2
3.8,"Lenovo A7700 (White, 16 GB)",7999,2
3.5,"Intex Aqua Shine 4G (Grey, 16 GB)",6290,2
3.8,"Intex Power plus (Champagne, 16 GB)",6449,2
3.8,"LYF Water 3 (Silver, 16 GB)",6599,2
3.9,"Xolo ERA X (Black, 8 GB)",5499,2
4.5,"Karbonn Titanium Octane Plus (Black, 16 GB)",12494,2
3.8,"Intex Aqua Xtreme II (White, 16 GB)",5199,2
3.6,"Intex Aqua Supreme Plus (Black, 16 GB)",5599,2
3.7,"Asus Zenfone Go (3rd Gen) (Gold, 16 GB)",7499,2
3,"Intex INTEX AQUA TREND (White, 16 GB)",6490,2
3.1,"Micromax E471 Knight2 (White+Silver, 16 GB)",7299,2
3.2,"Panasonic P55 Novo (Midnight Blue, 16 GB)",6699,2
3.2,"Rivo RX-250 (Gold, 8 GB)",3999,2
3.7,"Yu Yureka Plus (Moon Dust Grey, 16 GB)",6499,2
3.5,"Kata M1 (White, 16 GB)",6399,2
3.8,"Micromax JUICE 3 (COSMIC GREY, 8 GB)",5250,2
3.6,"Colors Elite (Gold, 16 GB)",4599,2
3.8,"InFocus M370i (Fashion White, 16 GB)",5499,2
3.8,"SSKY Y666 (Black & Gold, 16 GB)",4999,2
3.5,"Iball cobalt 6c chocolate brown (chocolate brown, 8 GB)",6999,2
3.8,"Lava Pixel V2 (White, 16 GB)",7499,2
3.7,"Lava Pixel V2 (Black, 16 GB)",7499,2
3.4,"Panasonic P66 Mega (Silver Grey, 16 GB)",5099,2
4.6,"Micromax HUE2 (White, Gold, 16 GB)",4900,2
3.7,"Intex AQUA TREND (Black, 16 GB)",7890,2
3.8,"Panasonic Eluga Z (White, 16 GB)",5190,2
3.2,"HTC One 801e (Silver, 32 GB)",37941,2
3.8,"Karbonn Titanium MachFive (Champagne, 16 GB)",4383,2
